,EventTime,Origin,Destination
427,2015.038346,SudesteBR,NordesteBR
428,2010.038346,SudesteBR,Europa
429,2014.038346,SudesteBR,NordesteBR
430,1972.1038660000002,SudesteBR,CentroOesteBR
431,2014.038336,CentroOesteBR,Europa
432,2009.038336,CentroOesteBR,Europa
433,2014.038336,CentroOesteBR,NorteBR
434,1977.730606,CentroOesteBR,NorteBR
435,2015.038336,NorteBR,SudesteBR
436,2016.038236,NorteBR,SudesteBR
437,2015.038346,NorteBR,SudesteBR
438,1987.840586,NorteBR,CentroOesteBR
439,2017.038326,SudesteBR,NorteBR
440,1989.749706,SudesteBR,CentroOesteBR
441,2004.9652660000002,SudesteBR,NordesteBR
442,2016.0382260000001,NordesteBR,SulBR
443,2017.038336,SudesteBR,NordesteBR
444,1983.9884060000002,SudesteBR,SulBR
445,2001.038336,SudesteBR,OtherLocations
446,2017.038336,SudesteBR,SulBR
447,1990.0080560000001,SudesteBR,Europa
448,1975.0789060000002,SudesteBR,SulBR
449,1980.7227160000002,SudesteBR,NordesteBR
450,1993.232616,SudesteBR,NordesteBR
451,2015.038326,SudesteBR,Bahia
452,2015.038326,SudesteBR,SulBR
453,2008.0382260000001,SudesteBR,CentroOesteBR
454,2014.038336,SudesteBR,NorteBR
455,1997.038336,SudesteBR,Europa
456,2016.038236,SudesteBR,Bahia
457,2007.038336,SudesteBR,SulBR
458,2016.0382260000001,SudesteBR,NorteBR
459,2015.038336,SudesteBR,SulBR
460,1990.134266,SudesteBR,Europa
461,2015.038336,Europa,SudesteBR
462,1994.2581460000001,Europa,SudesteBR
463,2011.0383160000001,SudesteBR,OtherLocations
464,2017.038336,SudesteBR,NorteBR
465,2017.038346,SudesteBR,NorteBR
466,2016.038236,SudesteBR,NordesteBR
467,2002.777466,SudesteBR,SulBR
468,2015.038346,SudesteBR,CentroOesteBR
469,2015.038346,SudesteBR,NordesteBR
470,2016.038236,SudesteBR,NordesteBR
471,2016.0382260000001,SudesteBR,NordesteBR
472,2015.038346,SudesteBR,NordesteBR
473,2016.038236,SudesteBR,SulBR
474,2016.038236,SudesteBR,Bahia
475,2017.038346,SudesteBR,Bahia
476,2017.038336,SudesteBR,NordesteBR
477,2016.038236,SudesteBR,SulBR
478,2016.0382260000001,SudesteBR,NordesteBR
479,1981.7129260000002,SudesteBR,SulBR
480,2005.038346,SudesteBR,SulBR
